sujet	session	treatment	trial	accuracy	conf	rt_trial	rt_conf	xc	xc_real	xc_diff	xc_o	s_o	stimuli	treat_block_e	treat_block_h	treat_mixed	keyword	elicit	gain	age	payment	hard	mixed
1	1	3	1	0	0.6	1.524385227	1.680846369	5	5	60	53	0	1	200	1	197	1	0	2	20	18.4	0	1
1	1	3	2	1	0.9	1.091768961	0.76785885	5	5	53	53	1	0	199	2	69	1	1	3	20	18.4	1	1
1	1	3	3	1	0.8	1.13923562	0.758983867	5	5	53	53	0	0	198	3	89	1	1	1	20	18.4	1	1
1	1	3	4	1	0.8	1.220639979	1.280170675	5	5	53	53	0	1	197	4	33	2	1	1	20	18.4	1	1
1	1	3	5	0	0.5	2.283392186	1.625881902	5	5	53	53	0	1	196	5	66	1	0	2	20	18.4	1	1
1	1	3	6	1	0.8	1.188501522	0.753059194	5	5	60	53	1	1	195	6	148	2	1	3	20	18.4	0	1
1	1	3	7	0	0.7	1.356586416	1.132349234	5	5	53	53	1	1	194	7	97	1	1	3	20	18.4	1	1
1	1	3	8	1	0.7	1.164210139	1.272093325	5	5	53	53	1	0	193	8	75	1	1	3	20	18.4	1	1
1	1	3	9	1	0.8	1.30781314	1.211700018	5	5	60	53	0	1	192	9	172	2	1	3	20	18.4	0	1
1	1	3	10	1	0.7	1.301775253	1.131990989	5	5	53	53	1	0	191	10	17	1	1	1	20	18.4	1	1
1	1	3	11	1	0.9	1.2676711	0.62774144	5	5	60	53	0	1	190	11	164	2	1	1	20	18.4	0	1
1	1	3	12	1	0.6	1.484012267	1.655747731	5	5	60	53	1	1	189	12	141	2	1	1	20	18.4	0	1
1	1	3	13	1	0.9	1.403688737	0.94725524	5	5	53	53	0	0	188	13	39	1	1	1	20	18.4	1	1
1	1	3	14	1	0.8	1.555969157	1.379308962	5	5	60	53	1	1	187	14	150	2	1	1	20	18.4	0	1
1	1	3	15	1	0.8	1.632822169	2.284841651	5	5	53	53	0	0	186	15	54	1	1	1	20	18.4	1	1
1	1	3	16	1	0.6	2.868285985	0.739779434	5	5	53	53	0	1	185	16	14	2	0	4	20	18.4	1	1
1	1	3	17	1	0.9	1.503520423	0.595890349	5	5	53	53	0	0	184	17	42	1	1	1	20	18.4	1	1
1	1	3	18	1	0.8	1.156053571	0.491846318	5	5	60	53	1	0	183	18	190	1	1	1	20	18.4	0	1
1	1	3	19	1	0.7	1.324187855	0.843485746	5	5	53	53	1	0	182	19	62	1	1	1	20	18.4	1	1
1	1	3	20	1	0.9	1.404112729	0.784953261	5	5	60	53	1	1	181	20	127	2	1	1	20	18.4	0	1
1	1	3	21	0	0.6	1.606713582	0.507720709	5	5	53	53	1	1	180	21	57	1	0	4	20	18.4	1	1
1	1	3	22	1	0.7	1.516154572	1.046979485	5	5	53	53	0	1	179	22	90	2	1	1	20	18.4	1	1
1	1	3	23	1	1	1.971798903	0.721075646	5	5	53	53	0	0	178	23	77	1	1	1	20	18.4	1	1
1	1	3	24	0	0.8	1.435891017	1.000875247	5	5	60	53	1	1	177	24	106	1	0	2	20	18.4	0	1
1	1	3	25	1	0.9	1.396414792	0.787670086	5	5	53	53	1	0	176	25	80	1	1	1	20	18.4	1	1
1	1	3	26	0	0.6	2.107414998	0.798271508	5	5	53	53	1	0	175	26	51	2	0	2	20	18.4	1	1
1	1	3	27	1	0.9	1.336149453	0.756128812	5	5	60	53	0	1	174	27	102	2	1	1	20	18.4	0	1
1	1	3	28	1	0.8	1.439603038	1.554539833	5	5	60	53	0	0	173	28	161	1	1	1	20	18.4	0	1
1	1	3	29	1	0.6	1.460812616	0.819305653	5	5	53	53	1	1	172	29	2	2	1	3	20	18.4	1	1
1	1	3	30	1	0.8	1.328102251	1.545925917	5	5	60	53	0	0	171	30	122	1	1	1	20	18.4	0	1
